mdate,spret,spindx,rf
1990-01-31,-0.06881721,329.08,0.005699999999999999
1990-02-28,0.008538957,331.89,0.005699999999999999
1990-03-31,0.02425502,339.94,0.0064
1990-04-30,-0.0268871,330.8,0.0069
1990-05-31,0.09198911,361.23,0.0068
1990-06-30,-0.008886305,358.02,0.0063
1990-07-31,-0.005223172000000001,356.15,0.0068
1990-08-31,-0.0943142,322.56,0.0066
1990-09-30,-0.05118427,306.05,0.006
1990-10-31,-0.006698252,304.0,0.0068
1990-11-30,0.05993421,322.22,0.005699999999999999
1990-12-31,0.02482776,330.22,0.006
1991-01-31,0.04151778,343.93,0.0052
1991-02-28,0.06728113,367.07,0.0048
1991-03-31,0.02220285,375.22,0.0044
1991-04-30,0.0003464634,375.35,0.0053
1991-05-31,0.03857733,389.83,0.004699999999999999
1991-06-30,-0.04789267,371.16,0.0042
1991-07-31,0.04485936,387.81,0.0049
1991-08-31,0.0196488,395.43,0.0046
1991-09-30,-0.01914372,387.86,0.0046
1991-10-31,0.01185995,392.46,0.0042
1991-11-30,-0.04392804,375.22,0.0039
1991-12-31,0.1115879,417.09,0.0038
1992-01-31,-0.01989978,408.79,0.0034
1992-02-29,0.009564813,412.7,0.0028
1992-03-31,-0.02183184,403.69,0.0034
1992-04-30,0.02789269,414.95,0.0032
1992-05-31,0.0009639715,415.35,0.0028
1992-06-30,-0.01735885,408.14,0.0032
1992-07-31,0.03937374,424.21,0.0031
1992-08-31,-0.02399755,414.03,0.0026
1992-09-30,0.00910562,417.8,0.0026
1992-10-31,0.002106271,418.68,0.0023
1992-11-30,0.03026178,431.35,0.0023
1992-12-31,0.0101078,435.71,0.0028
1993-01-31,0.007045971000000001,438.78,0.0023
1993-02-28,0.01048361,443.38,0.0022
1993-03-31,0.01869728,451.67,0.0025
1993-04-30,-0.02541679,440.19,0.0024
1993-05-31,0.02271746,450.19,0.0022
1993-06-30,0.0007552367000000001,450.53,0.0025
1993-07-31,-0.005327059,448.13,0.0024
1993-08-31,0.03443197,463.56,0.0025
1993-09-30,-0.00998792,458.93,0.0026
1993-10-31,0.01939294,467.83,0.0022
1993-11-30,-0.01291067,461.79,0.0025
1993-12-31,0.01009117,466.45,0.0023
1994-01-31,0.0325008,481.61,0.0025
1994-02-28,-0.03004506,467.14,0.0021
1994-03-31,-0.04574646,445.77,0.0027
1994-04-30,0.01153061,450.91,0.0027
1994-05-31,0.01241933,456.51,0.0031
1994-06-30,-0.02681212,444.27,0.0031
1994-07-31,0.03146735,458.25,0.0028
1994-08-31,0.03764321,475.5,0.0037
1994-09-30,-0.026898,462.71,0.0037
1994-10-31,0.02083378,472.35,0.0038
1994-11-30,-0.03950461,453.69,0.0037
1994-12-31,0.01229915,459.27,0.0044
1995-01-31,0.02427766,470.42,0.0042
1995-02-28,0.03607415,487.39,0.004
1995-03-31,0.02732924,500.71,0.0046
1995-04-30,0.0279603,514.71,0.0044
1995-05-31,0.03631171,533.4,0.0054
1995-06-30,0.02127859,544.75,0.004699999999999999
1995-07-31,0.03177604,562.06,0.004500000000000001
1995-08-31,-0.0003202505,561.88,0.004699999999999999
1995-09-30,0.04009753,584.41,0.0043
1995-10-31,-0.004979381000000001,581.5,0.004699999999999999
1995-11-30,0.04104901,605.37,0.0042
1995-12-31,0.01744388,615.93,0.0049
1996-01-31,0.03261734,636.02,0.0043
1996-02-29,0.006933744,640.43,0.0039
1996-03-31,0.007916556,645.5,0.0039
1996-04-30,0.01343145,654.17,0.0046
1996-05-31,0.02285339,669.12,0.0042
1996-06-30,0.002256695,670.63,0.004
1996-07-31,-0.04574803,639.95,0.004500000000000001
1996-08-31,0.01881397,651.99,0.004099999999999999
1996-09-30,0.05417261,687.31,0.0044
1996-10-31,0.02613086,705.27,0.0042
1996-11-30,0.07337616,757.02,0.004099999999999999
1996-12-31,-0.02150538,740.74,0.0046
1997-01-31,0.06131706,786.16,0.004500000000000001
1997-02-28,0.005927546000000001,790.82,0.0039
1997-03-31,-0.04261399,757.12,0.0043
1997-04-30,0.05840554,801.34,0.0043
1997-05-31,0.05857688,848.28,0.0049
1997-06-30,0.04345264,885.14,0.0037
1997-07-31,0.07812323,954.29,0.0043
1997-08-31,-0.05744585,899.47,0.004099999999999999
1997-09-30,0.05315352,947.28,0.0044
1997-10-31,-0.03447766,914.62,0.0042
1997-11-30,0.04458682,955.4,0.0039
1997-12-31,0.01573163,970.43,0.0048
1998-01-31,0.01015014,980.28,0.0043
1998-02-28,0.07044926,1049.34,0.0039
1998-03-31,0.04994568,1101.75,0.0039
1998-04-30,0.009076470000000001,1111.75,0.0043
1998-05-31,-0.01882618,1090.82,0.004
1998-06-30,0.03943822,1133.84,0.004099999999999999
1998-07-31,-0.0116154,1120.67,0.004
1998-08-31,-0.1457967,957.28,0.0043
1998-09-30,0.06239554,1017.01,0.0046
1998-10-31,0.0802942,1098.67,0.0032
1998-11-30,0.05912603,1163.63,0.0031
1998-12-31,0.05637531,1229.23,0.0038
1999-01-31,0.04100941,1279.64,0.0035
1999-02-28,-0.03228252,1238.33,0.0035
1999-03-31,0.03879418,1286.37,0.0043
1999-04-30,0.03794398,1335.18,0.0037
1999-05-31,-0.02497042,1301.84,0.0034
1999-06-30,0.05443833,1372.71,0.004
1999-07-31,-0.0320461,1328.72,0.0038
1999-08-31,-0.006254139000000001,1320.41,0.0039
1999-09-30,-0.02855174,1282.71,0.0039
1999-10-31,0.06253947,1362.93,0.0039
1999-11-30,0.01906187,1388.91,0.0036
1999-12-31,0.05784392,1469.25,0.0044
2000-01-31,-0.05090352,1394.46,0.004099999999999999
2000-02-29,-0.02010814,1366.42,0.0043
2000-03-31,0.0967199,1498.58,0.004699999999999999
2000-04-30,-0.03079582,1452.43,0.0046
2000-05-31,-0.021915,1420.6,0.005
2000-06-30,0.02393355,1454.6,0.004
2000-07-31,-0.01634126,1430.83,0.0048
2000-08-31,0.06069903,1517.68,0.005
2000-09-30,-0.05348295,1436.51,0.0051
2000-10-31,-0.004949496,1429.4,0.005600000000000001
2000-11-30,-0.08006856,1314.95,0.0051
2000-12-31,0.004053386,1320.28,0.005
2001-01-31,0.03463659,1366.01,0.0054
2001-02-28,-0.09229068,1239.94,0.0038
2001-03-31,-0.06420472,1160.33,0.0042
2001-04-30,0.07681435,1249.46,0.0039
2001-05-31,0.005090199,1255.82,0.0032
2001-06-30,-0.02500358,1224.42,0.0028
2001-07-31,-0.01077245,1211.23,0.003
2001-08-31,-0.06410839,1133.58,0.0031
2001-09-30,-0.08172339,1040.94,0.0028
2001-10-31,0.01809903,1059.78,0.0022
2001-11-30,0.07517598,1139.45,0.0017
2001-12-31,0.007573829000000001,1148.08,0.0015
2002-01-31,-0.01557383,1130.2,0.0014
2002-02-28,-0.02076624,1106.73,0.0013
2002-03-31,0.03673886,1147.39,0.0013
2002-04-30,-0.06141765,1076.92,0.0015
2002-05-31,-0.009081455,1067.14,0.0014
2002-06-30,-0.07246472,989.81,0.0013
2002-07-31,-0.07899496,911.62,0.0015
2002-08-31,0.00488142,916.07,0.0014
2002-09-30,-0.1100134,815.29,0.0014
2002-10-31,0.0864355,885.76,0.0014
2002-11-30,0.05706964,936.31,0.0012
2002-12-31,-0.06033258,879.82,0.0011
2003-01-31,-0.0274147,855.7,0.001
2003-02-28,-0.01700362,841.15,0.0009
2003-03-31,0.008357606,848.18,0.001
2003-04-30,0.08104412,916.92,0.001
2003-05-31,0.05089866,963.59,0.0009
2003-06-30,0.01132224,974.5,0.001
2003-07-31,0.0162237,990.31,0.0007000000000000001
2003-08-31,0.01787319,1008.01,0.0007000000000000001
2003-09-30,-0.01194433,995.97,0.0008
2003-10-31,0.0549615,1050.71,0.0007000000000000001
2003-11-30,0.007128513,1058.2,0.0007000000000000001
2003-12-31,0.05076545,1111.92,0.0008
2004-01-31,0.01727642,1131.13,0.0007000000000000001
2004-02-29,0.01220903,1144.94,0.0006
2004-03-31,-0.01635894,1126.21,0.0009
2004-04-30,-0.01679083,1107.3,0.0008
2004-05-31,0.01208345,1120.68,0.0006
2004-06-30,0.01798908,1140.84,0.0008
2004-07-31,-0.03429052,1101.72,0.001
2004-08-31,0.002287332,1104.24,0.0011
2004-09-30,0.009363906,1114.58,0.0011
2004-10-31,0.01401425,1130.2,0.0011
2004-11-30,0.03859494,1173.82,0.0015
2004-12-31,0.03245813,1211.92,0.0016
