,Last Refresh: 2024-10-07 04:24:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calendar Basis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portfolio, ,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency,월간,KRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Trading Day,Previous,Asc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Include Weekend,ALL, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Term,20130101,Current(20241004),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol,Symbol Name,Kind,Item,Item Name ,Frequency,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-04
3FM.2B3.HML,Size & Book Value(2X3) HML,IDX,I31000160F,수익률 (1개월)(%),DAILY,4.09,-1.75,0.90,2.18,-1.34,0.92,2.30,1.79,1.37,-1.35,1.22,3.76,0.08,1.63,0.63,1.12,0.32,3.07,5.80,2.30,-2.19,-1.69,0.36,-2.64,-4.79,3.66,0.72,0.92,-4.86,-1.75,-1.03,-0.12,2.60,-0.97,-1.22,0.68,-3.31,7.41,2.25,-0.18,-3.16,-1.38,4.48,4.76,1.53,7.64,6.92,0.65,2.41,-0.03,0.69,-2.53,0.79,1.85,3.29,-2.09,-2.02,-4.45,-4.23,-1.96,-3.61,1.74,-5.19,4.11,2.00,-3.49,3.16,-3.88,-0.97,8.47,-2.02,4.36,3.94,-3.07,-1.59,-0.48,3.15,2.85,0.98,-0.16,2.06,-8.51,1.91,-1.24,-4.27,-2.29,-15.81,-2.26,-3.49,-7.22,0.83,-0.71,3.07,5.96,1.55,-0.77,5.37,1.91,2.80,4.85,2.65,-2.17,-3.02,-3.01,4.77,2.14,-7.52,2.94,7.26,1.67,-0.68,5.30,-0.93,1.26,-3.36,1.17,4.37,-0.14,1.02,1.65,-2.52,-3.23,-6.75,2.06,-1.18,1.50,-1.35,-0.42,4.71,7.10,-2.44,-2.91,5.56,5.69,-5.44,4.43,4.20,6.20,1.94,-0.31,-2.79,-3.94
3FM.2B3.SMB,Size & Book Value(2X3) SMB,IDX,I31000160F,수익률 (1개월)(%),DAILY,5.32,0.92,5.98,7.81,1.46,-5.05,2.02,-3.15,-1.48,-2.52,-2.64,-2.31,6.25,2.30,3.56,3.71,-0.41,-1.55,-1.98,2.31,3.91,0.73,-3.62,2.93,4.64,7.55,5.76,1.28,5.94,3.17,2.28,-2.18,2.85,0.43,-0.42,1.58,-1.10,0.70,3.01,4.33,0.86,0.27,5.43,-4.51,3.14,-4.81,-2.56,3.38,-1.69,-3.22,-0.57,-1.37,-3.75,0.30,-3.37,1.53,-6.37,-4.46,3.88,-0.52,6.58,1.61,2.94,4.07,4.24,-4.52,0.55,0.47,-0.80,-6.58,6.22,-0.14,4.34,-3.54,3.51,1.90,4.48,1.19,-4.68,2.68,-1.46,-1.99,-0.22,-2.21,1.31,-2.55,-3.09,12.43,3.86,-4.06,2.18,-0.85,7.29,0.08,-1.68,-5.35,-2.09,0.08,5.28,5.43,-0.91,2.16,1.65,-3.17,2.03,0.04,-4.60,4.57,3.43,1.28,4.59,1.76,-2.14,-4.59,1.50,0.36,-2.80,-2.55,0.96,0.16,1.19,4.74,1.37,-3.86,0.42,2.15,-9.31,5.21,-0.80,0.70,-4.44,-2.21,4.22,-5.75,-2.88,0.93,2.93,-3.85,-2.65,-2.92,0.70,0.78
