변환,원자료
"2013/01","2.720"
"2013/02","2.690"
"2013/03","2.610"
"2013/04","2.580"
"2013/05","2.580"
"2013/06","2.650"
"2013/07","2.660"
"2013/08","2.660"
"2013/09","2.680"
"2013/10","2.660"
"2013/11","2.697"
"2013/12","2.699"
"2014/01","2.663"
"2014/02","2.653"
"2014/03","2.667"
"2014/04","2.663"
"2014/05","2.659"
"2014/06","2.628"
"2014/07","2.493"
"2014/08","2.380"
"2014/09","2.280"
"2014/10","2.135"
"2014/11","2.047"
"2014/12","2.087"
"2015/01","2.001"
"2015/02","1.984"
"2015/03","1.836"
"2015/04","1.704"
"2015/05","1.743"
"2015/06","1.628"
"2015/07","1.597"
"2015/08","1.584"
"2015/09","1.555"
"2015/10","1.549"
"2015/11","1.637"
"2015/12","1.643"
"2016/01","1.588"
"2016/02","1.470"
"2016/03","1.505"
"2016/04","1.494"
"2016/05","1.481"
"2016/06","1.360"
"2016/07","1.259"
"2016/08","1.266"
"2016/09","1.328"
"2016/10","1.379"
"2016/11","1.517"
"2016/12","1.573"
"2017/01","1.500"
"2017/02","1.465"
"2017/03","1.489"
"2017/04","1.472"
"2017/05","1.461"
"2017/06","1.462"
"2017/07","1.455"
"2017/08","1.471"
"2017/09","1.488"
"2017/10","1.649"
"2017/11","1.785"
"2017/12","1.833"
"2018/01","1.838"
"2018/02","1.856"
"2018/03","1.894"
"2018/04","1.871"
"2018/05","1.887"
"2018/06","1.858"
"2018/07","1.848"
"2018/08","1.836"
"2018/09","1.820"
"2018/10","1.901"
"2018/11","1.896"
"2018/12","1.854"
"2019/01","1.808"
"2019/02","1.831"
"2019/03","1.831"
"2019/04","1.770"
"2019/05","1.715"
"2019/06","1.566"
"2019/07","1.467"
"2019/08","1.217"
"2019/09","1.287"
"2019/10","1.334"
"2019/11","1.421"
"2019/12","1.379"
"2020/01","1.338"
"2020/02","1.228"
"2020/03","1.047"
"2020/04","0.873"
"2020/05","0.735"
"2020/06","0.672"
"2020/07","0.630"
"2020/08","0.620"
"2020/09","0.689"
"2020/10","0.698"
"2020/11","0.715"
"2020/12","0.727"
"2021/01","0.690"
"2021/02","0.684"
"2021/03","0.681"
"2021/04","0.660"
"2021/05","0.639"
"2021/06","0.861"
"2021/07","0.936"
"2021/08","1.005"
"2021/09","1.069"
"2021/10","1.204"
"2021/11","1.339"
"2021/12","1.317"
"2022/01","1.424"
"2022/02","1.547"
"2022/03","1.583"
"2022/04","1.931"
"2022/05","1.956"
"2022/06","2.508"
"2022/07","2.956"
"2022/08","3.007"
"2022/09","3.397"
"2022/10","3.593"
"2022/11","3.812"
"2022/12","3.728"
"2023/01","3.556"
"2023/02","3.539"
"2023/03","3.482"
"2023/04","3.259"
"2023/05","3.404"
"2023/06","3.541"
"2023/07","3.602"
"2023/08","3.594"
"2023/09","3.651"
"2023/10","3.745"
"2023/11","3.687"
"2023/12","3.499"
"2024/01","3.327"
"2024/02","3.379"
"2024/03","3.365"
"2024/04","3.389"
"2024/05","3.387"
"2024/06","3.352"
"2024/07","3.210"
"2024/08","3.048"
