,Last Refresh: 2024-09-21 02:05:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calendar Basis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portfolio, ,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency,월간,KRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Trading Day,Previous,Asc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Include Weekend,ALL, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Term,20130101,Current(20240920),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol,Symbol Name,Kind,Item,Item Name ,Frequency,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-20
FGSC,MKF2000,IDX,I31000160F,수익률 (1개월)(%),DAILY,-1.62,3.89,-0.74,-2.19,2.33,-6.75,3.02,0.07,3.80,1.90,-0.60,-1.97,-2.80,2.17,0.28,-0.55,1.23,0.12,3.12,0.01,-2.68,-2.48,3.00,-3.39,2.82,1.27,3.01,3.97,-1.54,-1.49,-2.84,-4.79,1.39,4.13,-1.53,-1.29,-2.77,-0.17,4.80,0.32,-0.35,0.32,3.79,0.35,0.40,-2.24,-2.08,3.32,1.90,-0.02,3.32,2.20,5.85,2.44,0.21,-1.41,1.61,5.39,0.56,-1.17,5.14,-6.03,0.99,2.79,-3.08,-5.57,-1.73,1.80,1.65,-14.21,4.37,-3.90,8.35,1.02,-2.07,3.31,-7.46,3.38,-5.02,-3.43,4.75,1.72,-0.73,5.92,-3.45,-8.52,-10.86,13.42,5.18,4.01,7.66,2.96,-0.51,-3.20,14.11,11.56,4.37,-4.58,1.92,1.96,1.03,3.69,-2.71,-0.36,-2.52,-2.75,-4.10,5.81,-11.48,1.04,2.36,-2.37,-0.42,-13.40,3.62,0.18,-12.74,5.80,8.31,-7.60,8.87,-1.91,3.22,2.85,3.25,-0.23,3.12,-2.53,-2.32,-7.75,9.48,5.78,-6.21,5.39,5.29,-2.61,-2.00,2.71,-1.55,-3.58,-6.10
I.405,KRX 300,IDX,I31000160F,수익률 (1개월)(%),DAILY,-2.02,5.07,-1.29,-2.81,2.17,-6.38,2.78,0.68,3.67,2.17,-0.31,-1.97,-3.44,3.33,-0.13,-0.61,1.54,0.23,3.28,-0.40,-3.02,-2.73,3.74,-3.57,2.61,0.38,2.62,4.37,-2.83,-1.67,-3.03,-4.54,1.45,4.94,-1.65,-1.49,-2.98,0.14,4.58,-0.29,-0.45,0.57,3.59,1.48,0.06,-1.09,-1.26,2.91,2.61,0.12,3.79,2.31,5.98,2.60,0.78,-1.81,2.55,5.69,-0.74,-1.34,4.17,-5.99,0.60,2.38,-3.40,-4.99,-1.46,1.36,1.46,-12.87,3.59,-4.04,8.48,1.05,-2.50,2.98,-7.65,3.86,-4.34,-3.77,5.20,1.79,-0.67,6.17,-3.35,-8.12,-10.76,11.12,4.26,4.59,7.16,3.00,-0.88,-3.03,14.43,12.66,4.90,-4.57,1.36,0.97,1.04,3.33,-3.16,-0.52,-2.42,-2.75,-3.38,5.50,-11.51,1.02,1.35,-2.59,-0.11,-13.08,3.55,-0.18,-12.29,6.25,8.44,-7.49,8.74,-2.87,3.00,3.73,3.46,-0.61,3.90,-3.37,-1.83,-7.03,9.72,6.32,-6.53,5.79,5.99,-2.79,-2.08,3.33,-0.97,-3.47,-6.40
