permno,date,year,exchcd,siccd,retadj,eretadj,altprc_lag1,ME_lag1,ME_Jun,BM
10001,20121231,2012,2,4925,-0.015231147,-0.015331147,9.5200004578,77.654643734,82.375603111,0.8360943205
10002,20121231,2012,3,6020,0.0109458044,0.0108458044,2.7499001026,49.404705244,53.700400171,2.9421480255
10025,20121231,2012,3,3081,-0.020991743,-0.021091743,60.5,334.6255,240.39599579,0.4066751488
10026,20121231,2012,3,2052,0.0181732439,0.0180732439,62.900001526,1179.3121286,1117.1081712,0.4761466377
10032,20121231,2012,3,3670,0.1144708246,0.1143708246,23.149999619,812.12513662,986.52062669,0.5894837329
10044,20121231,2012,3,2060,0.0193050932,0.0192050932,10.359999657,62.677997923,69.161,0.3395325808
10051,20121231,2012,1,8093,0.0478743762,0.0477743762,26.11000061,894.2153009,874.75985918,0.8011406868
10100,20121231,2012,3,8300,-0.17502068,-0.17512068,-0.604499996,2.9741399789,5.6333999062,0.4311191205
10104,20121231,2012,3,7370,0.0411810577,0.0410810577,32.174999237,152766.89638,145010.43193,0.3090075276
10107,20121231,2012,3,7370,0.0035581386,0.0034581386,26.614999771,224004.1342,256374.79128,0.2687439882
10116,20121231,2012,3,2834,0.2131147385,0.2130147385,1.8300000429,83.931121968,144.00982481,0.2316731444
10138,20121231,2012,3,6211,0.0276342276,0.0275342276,64.669998169,16482.119083,15974.085048,0.2371559764
10145,20121231,2012,1,3724,0.0348931886,0.0347931886,61.330001831,48044.206194,43509.467159,0.2731236909
10147,20121231,2012,1,3572,0.0193392243,0.0192392243,24.819999695,52287.176457,53815.565538,0.4479165536
10158,20121231,2012,1,9611,0.043617107,0.043517107,9.3999996185,254.57078967,316.04956808,0.7653621496
10180,20121231,2012,3,2834,-0.009636777,-0.009736777,13.489999771,1287.4316182,1499.6639635,0.1534070223
10200,20121231,2012,3,2830,-0.026356528,-0.026456528,6.4499998093,200.67239407,132.63780588,0.6204104712
10225,20121231,2012,1,2085,0.0887542218,0.0886542218,56.11000061,8927.8305271,9848.2367945,0.561276704
10232,20121231,2012,3,6035,0.1691075563,0.1690075563,20.620000839,45.281521843,42.227638,1.201179341
10239,20121231,2012,3,6330,0.0382942148,0.0381942148,22.979999542,343.28046998,345.9156434,0.9829224773
10252,20121231,2012,3,6020,0.0160278734,0.0159278734,28.700000763,622.21601654,631.7538602,0.7994358343
10253,20121231,2012,2,7373,-0.19629629,-0.19639629,2.7000000477,58.606201035,83.566084351,0.1125234236
10257,20121231,2012,3,7363,-0.211111113,-0.211211113,0.8999999762,8.3393997791,12.096499556,0.4837241746
10258,20121231,2012,3,2835,0.1296296269,0.1295296269,5.9400000572,368.13150355,304.05196121,0.6383984032
10259,20121231,2012,3,3570,-0.104208656,-0.104308656,5.75,192.38925,209.92752377,2.0975549212
10297,20121231,2012,3,6030,0.0135674449,0.0134674449,12.529999733,73.952058424,75.313658498,1.6740867921
10299,20121231,2012,3,3670,0.0412775129,0.0411775129,33.189998627,7679.9333522,7206.9652024,0.0898376032
10302,20121231,2012,3,3674,0.0788177922,0.0787177922,10.149999619,1451.0845455,2002.7507205,0.1537758025
10308,20121231,2012,2,6022,0.0166708827,0.0165708827,38.990001678,560.01339411,460.29888373,0.6949767376
10318,20121231,2012,3,2800,0.0257342868,0.0256342868,35.75,1050.049,955.11430788,0.2012813599
10355,20121231,2012,3,2710,0.0212977286,0.0211977286,90.620002747,125.14622379,118.46217831,0.7211009016
10363,20121231,2012,3,2834,-0.021290733,-0.021390733,15.029999733,321.86744428,329.40599184,0.4482442002
10375,20121231,2012,1,6021,0.0227272306,0.0226272306,11.880000114,1940.4198187,1867.7614855,1.2926173402
10382,20121231,2012,3,3510,0.1523315907,0.1522315907,28.950000763,659.71261739,698.98244695,0.7444212602
10395,20121231,2012,3,6330,-0.025567643,-0.025667643,52.409999847,735.73157786,701.30058931,1.2168607252
10397,20121231,2012,3,4210,-0.000922105,-0.001022105,21.690000534,1580.8323089,1740.8642555,0.5514506102
10421,20121231,2012,3,4510,0.0750646964,0.0749646964,11.590000153,594.05704782,332.66433069,2.9851221163
10443,20121231,2012,3,4210,0.0998065695,0.0997065695,25.850000381,244.2049536,220.78199644,0.8978278967
10463,20121231,2012,3,3670,0.0331492051,0.0330492051,3.6199998856,81.982137408,58.992957836,0.065331341
10501,20121231,2012,3,2430,-0.02076734,-0.02086734,28.409999847,412.96775778,246.15450549,0.7850139291
10507,20121231,2012,3,3840,0,-0.0001,2.6900000572,44.091790938,57.040680313,2.0552131026
10514,20121231,2012,3,5730,0.0153983999,0.0152983999,3.8900001049,122.82286331,97.510497,2.0331999562
10516,20121231,2012,1,2046,0.0258426443,0.0257426443,26.700000763,17583.712702,19439.687821,1.0294564269
10517,20121231,2012,1,7359,-0.014634148,-0.014734148,28.700000763,2169.8348577,2152.8339094,0.6270695069
10530,20121231,2012,3,2835,0.0204692613,0.0203692613,20.030000687,827.45935837,844.36370222,0.1804488171
10547,20121231,2012,3,3827,-0.054438267,-0.054538267,4.7484998703,60.918504836,59.937409287,0.279624297
10550,20121231,2012,3,8020,0.0301005244,0.0300005244,1.9900000095,6.6485900319,6.6421599064,1.3025046954
10606,20121231,2012,1,3491,0.051357355,0.051257355,40.88999939,1161.4395427,992.39844454,0.9734118591
10629,20121231,2012,1,6021,-0.016666695,-0.016766695,10.800000191,1509.7860267,1516.951964,0.8416451814
10644,20121231,2012,1,3825,0.1197183654,0.1196183654,1.4199999571,42.588638713,69.807299669,1.4913787168
10645,20121231,2012,3,3840,-0.098181814,-0.098281814,5.5,29.326,37.463250399,1.528771285
10649,20121231,2012,3,4210,0.2088266462,0.2087266462,9.2899999619,80.841579668,83.97429668,2.2002856728
10656,20121231,2012,3,5160,0.0135406135,0.0134406135,9.970000267,271.03445726,243.24110281,0.8698247383
10659,20121231,2012,3,8070,0.0873452649,0.0872452649,26.329999924,729.52530789,727.50925901,0.4173028152
10661,20121231,2012,3,2833,-0.114722736,-0.114822736,5.2300000191,28.571490104,37.651720415,0.2941499687
10667,20121231,2012,3,3714,-0.026419556,-0.026519556,15.109999657,302.56263313,334.20057069,1.011199391
