"Date","Price","Open","High","Low","Vol.","Change %"
"11/27/2024","17.25","16.90","17.45","16.85","22.18K","2.68%"
"11/26/2024","16.80","17.00","17.45","16.55","28.45K","0.90%"
"11/25/2024","16.65","17.65","17.65","16.60","20.68K","-5.67%"
"11/22/2024","17.65","18.40","18.45","17.25","20.49K","-2.49%"
"11/21/2024","18.10","18.60","18.95","18.00","32.11K","-3.83%"
"11/20/2024","18.82","18.65","18.80","18.05","0.29K","-2.74%"
"11/19/2024","19.35","17.35","21.75","17.15","27.63K","10.26%"
"11/18/2024","17.55","17.15","18.20","16.70","21.94K","2.33%"
"11/15/2024","17.15","16.90","17.85","16.90","24.17K","3.31%"
"11/14/2024","16.60","16.75","17.10","16.55","25.19K","-3.49%"
"11/13/2024","17.20","16.90","17.75","16.80","31.27K","1.47%"
"11/12/2024","16.95","16.15","17.20","15.85","27.53K","4.63%"
"11/11/2024","16.20","16.50","16.50","15.95","15.84K","-2.11%"
"11/08/2024","16.55","16.15","16.70","15.95","23.91K","2.48%"
"11/07/2024","16.15","16.80","16.90","16.05","22.49K","-3.87%"
"11/06/2024","16.80","17.50","17.60","15.85","65.97K","-4.55%"
"11/05/2024","17.60","19.20","19.20","17.40","26.33K","-6.63%"
"11/04/2024","18.85","19.10","19.50","18.50","23.99K","-1.57%"
"11/01/2024","19.15","19.65","19.95","18.90","26.28K","-2.79%"
"10/31/2024","19.70","18.75","20.00","18.60","39.77K","7.36%"
"10/30/2024","18.35","17.85","18.70","17.85","19.40K","1.94%"
"10/29/2024","18.00","18.15","18.15","17.70","19.24K","0.00%"
"10/28/2024","18.00","18.35","18.50","17.90","19.63K","-1.64%"
"10/25/2024","18.30","18.45","19.10","18.00","17.04K","-1.88%"
"10/24/2024","18.65","18.95","19.00","18.05","12.46K","1.36%"
"10/23/2024","18.40","17.90","19.05","17.85","19.45K","0.55%"
"10/22/2024","18.30","18.10","18.50","17.85","18.09K","0.55%"
"10/21/2024","18.20","17.40","18.25","17.35","24.57K","3.70%"
"10/18/2024","17.55","18.15","18.15","17.40","17.91K","-2.77%"
"10/17/2024","18.05","18.70","18.95","17.95","22.60K","-6.72%"
"10/16/2024","19.35","18.25","19.30","18.25","0.51K","5.45%"
"10/15/2024","18.35","18.15","18.65","17.80","32.45K","2.51%"
"10/14/2024","17.90","18.85","19.55","17.85","26.37K","-6.28%"
"10/11/2024","19.10","19.85","20.20","18.85","25.11K","-3.78%"
"10/10/2024","19.85","20.00","20.40","19.65","24.86K","-1.00%"
"10/09/2024","20.05","20.80","21.15","19.90","18.15K","-3.37%"
"10/08/2024","20.75","21.65","22.15","20.65","30.13K","0.97%"
