date,mktrf,smb,hml,rf,year,month,umd,dateff
19260701,0.029600,-0.023000,-0.028700,0.00220,1926,7,,19260731
19260801,0.026400,-0.014000,0.041900,0.00250,1926,8,,19260831
19260901,0.003600,-0.013200,0.000100,0.00230,1926,9,,19260930
19261001,-0.032400,0.000400,0.005100,0.00320,1926,10,,19261030
19261101,0.025300,-0.002000,-0.003500,0.00310,1926,11,,19261130
19261201,0.026200,-0.000400,-0.000200,0.00280,1926,12,,19261231
19270101,-0.000600,-0.005600,0.048300,0.00250,1927,1,0.004400,19270131
19270201,0.041800,-0.001000,0.031700,0.00260,1927,2,-0.013200,19270228
19270301,0.001300,-0.016000,-0.026700,0.00300,1927,3,0.035900,19270331
19270401,0.004600,0.004300,0.006000,0.00250,1927,4,0.041700,19270430
19270501,0.054400,0.014100,0.049300,0.00300,1927,5,0.029600,19270531
19270601,-0.023400,0.004700,-0.015300,0.00260,1927,6,0.005300,19270630
19270701,0.072600,-0.032300,-0.011600,0.00300,1927,7,0.042900,19270730
19270801,0.019700,-0.007200,-0.036900,0.00280,1927,8,0.011400,19270831
19270901,0.047600,-0.035700,-0.007100,0.00210,1927,9,0.018900,19270930
19271001,-0.043100,0.021300,-0.043300,0.00250,1927,10,-0.010800,19271031
19271101,0.065800,0.027600,-0.003100,0.00210,1927,11,-0.006700,19271130
19271201,0.020900,0.009300,-0.010600,0.00220,1927,12,0.031500,19271231
19280101,-0.006800,0.042500,-0.007200,0.00250,1928,1,-0.006000,19280131
19280201,-0.017000,-0.020300,-0.006900,0.00330,1928,2,-0.010900,19280229
19280301,0.088100,-0.002600,-0.012000,0.00290,1928,3,0.048700,19280331
19280401,0.042300,0.038200,0.036700,0.00220,1928,4,-0.056500,19280430
19280501,0.015200,0.029800,-0.034600,0.00320,1928,5,0.028500,19280531
19280601,-0.048500,-0.035000,-0.000600,0.00310,1928,6,0.020500,19280630
19280701,0.006200,-0.013500,-0.004700,0.00320,1928,7,0.028200,19280731
19280801,0.066800,-0.020700,-0.021100,0.00320,1928,8,0.036900,19280831
19280901,0.028800,0.023300,0.009900,0.00270,1928,9,0.036400,19280929
19281001,0.013300,0.022700,-0.022600,0.00410,1928,10,0.050500,19281031
19281101,0.118100,-0.018100,0.028000,0.00380,1928,11,0.021200,19281130
19281201,0.003600,-0.008500,-0.006000,0.00060,1928,12,0.017800,19281231
19290101,0.046600,-0.035400,-0.012100,0.00340,1929,1,0.024300,19290131
19290201,-0.003400,-0.003900,0.016800,0.00360,1929,2,0.030800,19290228
19290301,-0.008900,-0.047400,0.016100,0.00340,1929,3,-0.007000,19290328
19290401,0.014300,-0.010000,0.006000,0.00360,1929,4,0.018900,19290430
19290501,-0.063900,-0.053500,-0.014000,0.00440,1929,5,-0.020400,19290531
19290601,0.097000,-0.021700,-0.027600,0.00520,1929,6,0.087900,19290629
19290701,0.044600,-0.038800,0.026600,0.00330,1929,7,0.029500,19290731
19290801,0.081800,-0.095200,0.000600,0.00400,1929,8,0.046700,19290830
