Year,Month,Price
1978,1,0.631
1978,2,0.629
1978,3,0.629
1978,4,0.631
1978,5,0.637
1978,6,0.645
1978,7,0.655
1978,8,0.663
1978,9,0.669
1978,10,0.671
1978,11,0.676
1978,12,0.685
1979,1,0.695
1979,2,0.707
1979,3,0.733
1979,4,0.78
1979,5,0.823
1979,6,0.88
1979,7,0.93
1979,8,0.967
1979,9,0.998
1979,10,1.006
1979,11,1.019
1979,12,1.042
1980,1,1.11
1980,2,1.186
1980,3,1.23
1980,4,1.242
1980,5,1.244
1980,6,1.246
1980,7,1.247
1980,8,1.243
1980,9,1.231
1980,10,1.223
1980,11,1.222
1980,12,1.231
1981,1,1.269
1981,2,1.353
1981,3,1.388
1981,4,1.381
1981,5,1.37
1981,6,1.362
1981,7,1.353
1981,8,1.348
1981,9,1.358
1981,10,1.353
1981,11,1.351
1981,12,1.348
1982,1,1.341
1982,2,1.318
1982,3,1.268
1982,4,1.21
1982,5,1.224
1982,6,1.296
1982,7,1.318
1982,8,1.31
1982,9,1.292
1982,10,1.28
1982,11,1.268
1982,12,1.244
1983,1,1.214
1983,2,1.17
1983,3,1.135
1983,4,1.198
1983,5,1.243
1983,6,1.261
1983,7,1.272
1983,8,1.269
1983,9,1.257
1983,10,1.239
1983,11,1.224
1983,12,1.215
1984,1,1.2
1984,2,1.193
1984,3,1.194
1984,4,1.211
1984,5,1.221
1984,6,1.214
1984,7,1.197
1984,8,1.184
1984,9,1.189
1984,10,1.195
1984,11,1.193
1984,12,1.179
1985,1,1.145
1985,2,1.128
1985,3,1.155
1985,4,1.199
1985,5,1.223
1985,6,1.233
1985,7,1.233
1985,8,1.222
1985,9,1.209
1985,10,1.198
1985,11,1.201
1985,12,1.203
1986,1,1.19
1986,2,1.119
1986,3,0.983
1986,4,0.895
1986,5,0.927
1986,6,0.958
1986,7,0.895
1986,8,0.848
1986,9,0.864
1986,10,0.837
1986,11,0.827
1986,12,0.83
1987,1,0.868
1987,2,0.911
1987,3,0.918
1987,4,0.94
1987,5,0.948
1987,6,0.966
1987,7,0.98
1987,8,1.004
1987,9,1
1987,10,0.988
1987,11,0.987
1987,12,0.975
1988,1,0.947
1988,2,0.928
1988,3,0.92
1988,4,0.946
1988,5,0.97
1988,6,0.971
1988,7,0.984
1988,8,1.004
1988,9,0.992
1988,10,0.976
1988,11,0.972
1988,12,0.953
1989,1,0.944
1989,2,0.955
1989,3,0.974
1989,4,1.098
1989,5,1.152
1989,6,1.15
1989,7,1.132
1989,8,1.096
1989,9,1.073
1989,10,1.071
1989,11,1.046
1989,12,1.03
1990,1,1.09
1990,2,1.086
1990,3,1.076
1990,4,1.096
1990,5,1.114
1990,6,1.14
1990,7,1.139
1990,8,1.246
1990,9,1.347
1990,10,1.431
1990,11,1.432
1990,12,1.41
1991,1,1.304
1991,2,1.198
1991,3,1.138
1991,4,1.159
1991,5,1.209
1991,6,1.214
1991,7,1.185
1991,8,1.196
1991,9,1.199
1991,10,1.18
1991,11,1.193
1991,12,1.182
1992,1,1.135
1992,2,1.117
1992,3,1.122
1992,4,1.143
1992,5,1.197
1992,6,1.239
1992,7,1.238
1992,8,1.221
1992,9,1.222
1992,10,1.219
1992,11,1.223
1992,12,1.201
1993,1,1.182
1993,2,1.172
1993,3,1.163
1993,4,1.175
1993,5,1.193
1993,6,1.194
1993,7,1.174
1993,8,1.163
1993,9,1.151
1993,10,1.193
1993,11,1.178
1993,12,1.136
1994,1,1.109
1994,2,1.114
1994,3,1.109
1994,4,1.128
1994,5,1.143
1994,6,1.167
1994,7,1.199
1994,8,1.243
1994,9,1.237
1994,10,1.212
1994,11,1.222
1994,12,1.203
1995,1,1.19
1995,2,1.181
1995,3,1.173
1995,4,1.197
1995,5,1.256
1995,6,1.281
1995,7,1.252
1995,8,1.222
1995,9,1.206
1995,10,1.185
1995,11,1.161
1995,12,1.16
1996,1,1.186
1996,2,1.181
1996,3,1.219
1996,4,1.305
1996,5,1.378
1996,6,1.354
1996,7,1.328
1996,8,1.298
1996,9,1.293
1996,10,1.287
1996,11,1.308
1996,12,1.318
1997,1,1.318
1997,2,1.312
1997,3,1.293
1997,4,1.288
1997,5,1.284
1997,6,1.286
1997,7,1.263
1997,8,1.31
1997,9,1.334
1997,10,1.3
1997,11,1.271
1997,12,1.236
1998,1,1.186
1998,2,1.137
1998,3,1.097
1998,4,1.106
1998,5,1.146
1998,6,1.148
1998,7,1.134
1998,8,1.108
1998,9,1.091
1998,10,1.099
1998,11,1.086
1998,12,1.046
1999,1,1.031
1999,2,1.014
1999,3,1.048
1999,4,1.232
1999,5,1.233
1999,6,1.204
1999,7,1.244
1999,8,1.309
1999,9,1.334
1999,10,1.329
1999,11,1.319
1999,12,1.353
2000,1,1.356
2000,2,1.422
2000,3,1.594
2000,4,1.561
2000,5,1.552
2000,6,1.666
2000,7,1.642
2000,8,1.559
2000,9,1.635
2000,10,1.613
2000,11,1.608
2000,12,1.544
2001,1,1.525
2001,2,1.538
2001,3,1.503
2001,4,1.617
2001,5,1.812
2001,6,1.731
2001,7,1.565
2001,8,1.509
2001,9,1.609
2001,10,1.442
2001,11,1.324
2001,12,1.2
2002,1,1.209
2002,2,1.21
2002,3,1.324
2002,4,1.493
2002,5,1.508
2002,6,1.489
2002,7,1.496
2002,8,1.508
2002,9,1.507
2002,10,1.535
2002,11,1.534
2002,12,1.477
2003,1,1.557
2003,2,1.686
2003,3,1.791
2003,4,1.704
2003,5,1.587
2003,6,1.558
2003,7,1.567
2003,8,1.671
2003,9,1.771
2003,10,1.646
2003,11,1.578
2003,12,1.538
2004,1,1.635
2004,2,1.715
2004,3,1.809
2004,4,1.875
2004,5,2.05
2004,6,2.083
2004,7,1.982
2004,8,1.941
2004,9,1.934
2004,10,2.072
2004,11,2.053
2004,12,1.926
2005,1,1.866
2005,2,1.96
2005,3,2.107
2005,4,2.325
2005,5,2.257
2005,6,2.218
2005,7,2.357
2005,8,2.548
2005,9,2.969
2005,10,2.83
2005,11,2.387
2005,12,2.23
2006,1,2.359
2006,2,2.354
2006,3,2.444
2006,4,2.801
2006,5,2.993
2006,6,2.963
