Popeyes,Wendys,McDonalds,Hardees,Jack in Box
150,173,198,158,289
197,95,131,195,273
186,154,158,177,254
166,104,123,147,282
196,183,139,181,235
192,120,160,192,245
187,164,139,152,292
121,130,209,217,231
191,136,182,272,206
163,128,167,252,247
198,164,151,122,304
167,137,126,139,245
169,132,152,230,263
112,139,148,163,311
162,141,130,184,262
133,125,131,124,255
159,104,179,231,349
190,141,173,144,248
212,147,152,139,274
211,139,152,212,302
159,137,124,220,245
170,150,125,147,333
238,148,128,123,302
166,156,163,205,299
141,164,193,132,244
175,172,172,126,289
189,133,173,143,292
180,122,133,137,274
185,145,133,258,260
215,133,135,208,290
163,148,179,136,266
168,116,150,162,264
224,166,178,338,299
176,150,179,163,281
153,143,142,136,211
217,134,146,163,248
145,138,147,125,307
193,143,201,194,257
210,145,148,204,290
156,155,176,173,287
176,160,176,123,308
211,145,150,158,234
156,159,143,143,330
201,135,149,127,298
198,121,130,268,252
184,139,161,187,229
169,146,157,184,261
159,201,126,179,314
175,141,176,164,350
190,190,191,250,324
195,153,165,254,280
155,145,155,193,235
150,149,190,131,301
172,155,150,130,275
161,166,137,178,251
170,149,185,142,254
190,155,173,150,247
139,158,139,161,331
121,124,122,155,286
150,134,200,210,259
166,121,157,146,283
197,135,121,142,286
173,142,211,141,295
196,97,166,135,249
180,159,127,134,230
155,153,187,152,257
185,150,194,251,309
155,147,136,162,355
172,106,205,163,292
145,137,173,155,285
180,141,154,121,296
213,161,127,300,289
189,158,134,161,253
136,117,189,128,322
214,133,136,147,262
192,157,150,188,293
174,130,212,210,283
169,172,157,208,268
144,154,162,125,324
192,133,193,278,318
167,158,157,125,190
188,156,134,273,245
179,144,156,174,295
164,134,158,132,283
225,149,198,169,252
176,146,179,145,291
202,148,139,180,308
175,114,223,196,260
156,125,136,244,263
137,199,153,160,278
181,138,151,238,312
187,126,132,214,288
197,130,127,141,248
154,142,151,189,308
151,129,153,131,242
195,138,145,235,272
213,154,178,218,261
135,178,133,147,271
136,152,124,154,263
205,119,180,202,265
