PERMNO,date,TICKER,COMNAM,RET,RETX
10107,2019-01-31,MSFT,MICROSOFT CORP,0.028158,0.028158
10107,2019-02-28,MSFT,MICROSOFT CORP,0.077181,0.072776
10107,2019-03-29,MSFT,MICROSOFT CORP,0.052754,0.052754
10107,2019-04-30,MSFT,MICROSOFT CORP,0.107343,0.107343
10107,2019-05-31,MSFT,MICROSOFT CORP,-0.049464,-0.052986
10107,2019-06-28,MSFT,MICROSOFT CORP,0.083118,0.083118
10107,2019-07-31,MSFT,MICROSOFT CORP,0.017244,0.017244
10107,2019-08-30,MSFT,MICROSOFT CORP,0.015044,0.011668
10107,2019-09-30,MSFT,MICROSOFT CORP,0.008487,0.008487
10107,2019-10-31,MSFT,MICROSOFT CORP,0.031216,0.031216
10107,2019-11-29,MSFT,MICROSOFT CORP,0.059427,0.055869
10107,2019-12-31,MSFT,MICROSOFT CORP,0.041749,0.041749
10107,2020-01-31,MSFT,MICROSOFT CORP,0.079455,0.079455
10107,2020-02-28,MSFT,MICROSOFT CORP,-0.045292,-0.048288
10107,2020-03-31,MSFT,MICROSOFT CORP,-0.026541,-0.026541
10107,2020-04-30,MSFT,MICROSOFT CORP,0.136326,0.136326
10107,2020-05-29,MSFT,MICROSOFT CORP,0.025389,0.022543
10107,2020-06-30,MSFT,MICROSOFT CORP,0.110559,0.110559
10107,2020-07-31,MSFT,MICROSOFT CORP,0.007371,0.007371
10107,2020-08-31,MSFT,MICROSOFT CORP,0.102580,0.100093
10107,2020-09-30,MSFT,MICROSOFT CORP,-0.067397,-0.067397
10107,2020-10-30,MSFT,MICROSOFT CORP,-0.037370,-0.037370
10107,2020-11-30,MSFT,MICROSOFT CORP,0.060058,0.057292
10107,2020-12-31,MSFT,MICROSOFT CORP,0.039006,0.039006
10107,2021-01-29,MSFT,MICROSOFT CORP,0.042892,0.042892
10107,2021-02-26,MSFT,MICROSOFT CORP,0.004225,0.001811
10107,2021-03-31,MSFT,MICROSOFT CORP,0.014588,0.014588
10107,2021-04-30,MSFT,MICROSOFT CORP,0.069602,0.069602
